Combien de personne parlent dans un monologue ?,12,10,1,2,1
Quel est le feminin de redacteur ?,Redaction,Redactionniste,Redacteuse,Redactrice,Redactrice
Le contraire d'un mot est son :,Patronyme,Synonyme,Antonyme,Homonyme,Antonyme
Monsieur Micheli ? un super professeur !,es,est,hait,ai,est
Quel prefixe utilise-t-on pour dire le contraire du mot content ?,Acontent,Malcontent,Incontent,Mecontent,Mecontent
Quel outil utilise-t-on pour couper du bois ?,Une scie,Un six,Un si,Une sci,Une scie
Parmis ces pieces de theatre laquelle fut ecrite par Moliere ?,Le Malade imaginaire,Romeo et Juliette,Cyrano de Bergerac,Rhinoceros,Le Malade imaginaire
Que tient le corbeau dans "Le Corbeau et le Renard" de J. de la Fontaine ?,Un biscuit,Un fromage,Un livre,Un crayon,Un fromage
Qu'est ce qu'un C.O.D. ?,un Call of Duty,un Commite Officiel de Dauphins,Complement d'Objet Direct,le Corps d'Operation du Danemark,Complement d'Objet Direct
Comment appelle-t-on le premier né parmis trois freres et soeurs ?,Le cadet,Le junior,Le benjamin,L'ainé,L'ainé
Quel verbe ne fait pas partie du 2e groupe ?,courir,grandir,finir,choisir,courir
"Rien ne sert de courir il faut partir ?",a pied,à poing,a point,plus tot,a point
LeQuel de ces ecrivains est une femme ?,Victor Hugo,Emile Zola,George Sand,Honore de Balzac,George Sand
Lequel de ces pronoms n'existe pas ?,Relatif,Possessif,Personnel,Qualificatif,Qualificatif
? sur ce jeu que je m'amuse le plus !,s'est,ces,c'est,ses,c'est
Lequel de ces mots n'est pas un adverbe ?,Lendemain,Desormais,Jamais,Aujourd'hui,Lendemain
Lequel de ces mots prend un S au pluriel ?,Chou,Clou,Joujou,Hibou,Clou
Quel est le pseudonyme de Jean Baptiste Poquelin ?,Racine,Flaubert,Moliere,Corneille,Moliere
